Name	Rune Name	complete	server	itype1	itype2	itype3	itype4	itype5	itype6	etype1	etype2	etype3	*runes	Rune1	Rune2	Rune3	Rune4	Rune5	Rune6	T1Code1	T1Param1	T1Min1	T1Max1	T1Code2	T1Param2	T1Min2	T1Max2	T1Code3	T1Param3	T1Min3	T1Max3	T1Code4	T1Param4	T1Min4	T1Max4	T1Code5	T1Param5	T1Min5	T1Max5	T1Code6	T1Param6	T1Min6	T1Max6	T1Code7	T1Param7	T1Min7	T1Max7	eol
Runeword48	Hand of Justice	1		weap									SurChamAmnLo	r29	r32	r11	r28			swing2		33	33	dmg%		280	330	aura	Holy Fire	16	16	levelup-skill	Blaze	100	36	death-skill	Meteor	100	48	ignore-ac		1	1	pierce-fire		20	20	0
Runeword51	Heart of the Oak	1		staf	mace								KoVexPulThul	r18	r26	r21	r10			cast2		40	40	charged	Oak Sage	25	4	mana%		15	15	allskills		3	3	regen		20	20	res-all		30	40	charged	Raven	60	14	0
Runeword66	Kingslayer	1		swor	axe								MalUmGulFal	r23	r22	r25	r19			swing2		30	30	dmg%		230	270	reduce-ac		25	25	crush		33	33	openwounds		25	25	oskill	Vengeance	1	1	gold%		40	40	0
Runeword95	Passion	1		weap									DolOrtEldLem	r14	r09	r02	r20			dmg%		160	210	oskill	Zeal	1	1	att%		50	80	oskill	Berserk	1	1	swing2		25	25	charged	Heart of Wolverine	12	3	stupidity		10	10	0
Runeword45	Gloom	1		tors									FalUmPul	r19	r22	r21				ac%		170	230	res-all		30	30	gethit-skill	Dim Vision	15	3	balance2		10	10	dmg-to-mana		5	5	light		-3	-3	half-freeze		1	1	0
Runeword122	Sanctuary	1		shld									KoKoMal	r18	r18	r23				block		20	20	block2		20	20	ac%		130	160	ac-miss		250	250	res-all		50	70	balance2		20	20	charged	Slow Missiles	60	12	0
Runeword16	Chaos	1		h2h									FalOhmUm	r19	r27	r22				demon-heal		15	15	dmg%		240	290	dmg-mag		216	471	oskill	Whirlwind	1	1	swing2		35	35	hit-skill	Frozen Orb	9	11	hit-skill	Charged Bolt	11	9	0
Runeword4	The Beast	1		axe	scep	hamm								r30	r03	r22	r23	r17		swing2		40	40	aura	Fanaticism	9	9	dmg%		240	270	str		25	40	charged	Summon Grizzly	5	13	oskill	Wearbear	3	3	oskill	Shape Shifting	3	3	0
Runeword123	Serendipity	1		armo	shld	helm							AnsuzFehu	f04	f01					light		4	4	indestruct		1	1	nofreeze		1	1	all-stats		19	23	gethit-skill	Life Tap	1	11	lifesteal		5	11					0
Runeword124	Shadow	1		helm	shld								HagalSowilPerth	f09	f16	f14				oskill	Lower Resist	1	1	allskills		1	1	gethit-skill	Fade	10	8	res-all		20	40													0
Runeword125	Shadow of Doubt	1		weap	tors	helm	shld						GeboIsazEhwazKenazAlgiz	f07	f11	f19	f06	f15		att-skill	Poison Nova	1	50	hit-skill	Blizzard	1	50	gethit-skill	Static Field	1	50	kill-skill	Firestorm	1	50	death-skill	Volcano	100	50	levelup-skill	Cyclone Armor	100	50					0
Runeword127	Siren's Song	1		weap									JeraIsazBjarkYngviPerth	f12	f11	f18	f22	f14		ignore-ac		1	1	hit-skill	Iron Maiden	5	7	lifesteal		11	13	swing2		17	19	aura	Redemption	23	29	hit-skill	Attract	31	1	dmg%		211	223	0
Runeword129	Conky	1		leg									KenazNaudJera	f06	f10	f12				oskill	Hell Bovine	1	1	dmg%		420	420	res-all		25	50	allskills		1	4	all-stats		25	50									0
Runeword130	Spirit	1		swor	shld								TalThulOrtAmn	r07	r10	r09	r11			balance3		55	55	mana		89	112	ac-miss		250	250	vit		22	22	cast3		25	35	abs-mag		3	8	allskills		2	2	0
Runeword131	Splendor	1		shld										r05	r17					light		3	3	gold%		50	50	mag%		20	20	ac%		60	100	block2		20	20	cast2		10	10	allskills		1	1	0
Runeword132	Starlight	1		helm									AnsuzKenaz	f04	f06					hit-skill	Meteor	17	19	light		23	29	ac%		137	151																	0
Runeword135	Still Water	1		glov									LaguzPerth	f21	f14					mana%		25	75	regen-mana		25	75	ac%		25	75	cast2		25	75													0
Runeword30	Duress	1		tors									ShaelUmThul	r13	r22	r10				dmg-cold	50	37	133	dmg%		10	20	ac%		150	200	balance2		20	20	openwounds		33	33	crush		15	15	stamdrain		-20	-20	0
Runeword138	Storm	1		weap									YngviThursHagalJeraFehuGebo	f22	f03	f09	f12	f01	f07	ignore-ac		1	1	oskill	Thunder Storm	10	20	dmg-ltng/lvl		420	840	dmg%		250	350	swing2		40	40	kill-skill	Static Field	10	25					0
Runeword140	Tempest (lightning)	1		weap	armo	shld							4 Perfect Topaz	gpy	gpy	gpy	gpy			dmg-ltng		31	47	abs-ltng%		31	47	res-ltng-max		11	13	dmg-ltng/lvl	113															0
Runeword141	Peril (poison)	1		weap	armo	shld							5 Perfect Emerald	gpg	gpg	gpg	gpg	gpg		res-pois-len		50	50	res-pois-max		17	19	dmg-pois/lvl	173			res-pois		53	71													0
Runeword142	Terror (shadow)	1		weap	armo	shld							5 Perfect Skull	skz	skz	skz	skz	skz		manasteal		41	47	lifesteal		41	47	aura	Redemption	1	5																	0
Runeword90	Nightfall	1		weap	miss								DagazBjark	f24	f18					gethit-skill	Cloak of Shadows	5	15	addxp		5	7	dmg%		300	500	att-skill	Bone Spear	5	17	att-skill	Psychic Hammer	20	20	allskills		0	5					0
Runeword91	Oath	1		swor	axe	mace							ShaelPulMalLum	r13	r21	r23	r17			dmg%		210	340	swing1		30	30	hit-skill	Bone Spirit	30	20	charged	IronGolem	14	17	charged	Heart of Wolverine	20	16	abs-mag		10	15	indestruct		1	1	0
Runeword92	Obedience	1		pole									HelKoThulEthFal	r15	r18	r10	r05	r19		dmg%		370	370	crush		40	40	kill-skill	enchant	30	21	pierce-fire		25	25	ac		200	300	balance3		40	40	res-all		20	30	0
Runeword93	Oblivion (shadow)	1		weap	armo	shld							6 Perfect Skull	skz	skz	skz	skz	skz	skz	manasteal		53	61	lifesteal		53	61	aura	Redemption	1	6																	0
Runeword94	Obsession	1		belt	shld								NaudNaud	f10	f10					res-all		15	25	mag%		25	50	ac%		0	105	dmg%		0	105													0
Runeword49	Harmony	1		miss									TirIthSolKo	r03	r06	r12	r18			dmg%		200	275	dmg-elem		55	160	charged	Revive	25	20	aura	Vigor	10	10	oskill	Valkyrie	2	6	regen-mana		20	20	light		2	2	0
Runeword50	Hatred (Fire)	1		weap	armo	shld							2 Perfect Ruby	gpr	gpr					dmg-fire		2	11	abs-fire%		2	11	res-fire-max		2	3	dmg-fire/lvl	29			fireskill		0	1	explosivearrow		1	1					0
Runeword40	Flickering Flame	1		glov									KenazPerth	f06	f14					hp%		25	75	regen		25	75	ac%		25	75	swing2		25	75													0
Runeword41	Fortitude	1		weap	tors								ElSolDolLo	r01	r12	r14	r28			ac%		200	200	dmg%		300	300	cast3		25	25	gethit-skill	Chilling Armor	20	15	dmg-to-mana		12	12	hp/lvl		8	12	res-all		25	30	0
Runeword42	Fortune's Favor	1		helm									NaudNaudNaud	f10	f10	f10				res-all		30	50	mag%		50	75	ac%		0	210	ignore-ac		1	1	allskills		0	1									0
Runeword89	Aurora of the North	1		helm	shld								Naud Flawless-Diamond Nef	f10	glw	r04				aura	Prayer	1	7	aura	Holy Freeze	1	7																					0
Runeword46	Aurora of the South	1		helm	shld								Sol Flawless-Diamond Sowil	r12	glw	f16				aura	Might	1	7	aura	Holy Shock	1	7																					0
Runeword38	Faith	1		miss									OhmJahLemEld	r27	r31	r20	r02			dmg%		280	280	att%		300	300	dmg-fire		120	120	res-all		15	15	aura	fanaticism	12	15	reanimate	1	10	10	allskills		1	2	0
Runeword43	Honor Guard Diamond	1		swor									WunjoFlawless-DiamondYngvi	f08	glw	f22				dmg%		100	250	dmg-elem		100	250	allskills		0	2	res-all		1	30	randclassskill		0	5									0
Runeword2	Armageddon (Fire)	1		weap	armo	shld							6 Perfect Ruby	gpr	gpr	gpr	gpr	gpr	gpr	dmg-fire		73	97	abs-fire%		73	97	res-fire-max		23	29	dmg-fire/lvl	229			fireskill		0	5	explosivearrow		1	1					0
Runeword3	Authority	1		armo									NaudNaudNaudNaudNaudNaud	f10	f10	f10	f10	f10	f10	res-all		75	100	mag%		75	125	ac%		300	500	ignore-ac		1	1	allskills		1	3									0
Runeword5	Beauty (fire)	1		weap	helm								2 chipped ruby	gcr	gcr					dmg-fire/time	0	2	11	res-fire/time	2	2	11																					0
Runeword7	Blood (fire)	1		weap	shld								3 ruby	gsr	gsr	gsr				dmg-fire/time	0	31	47	res-fire/time	2	31	47	hp%		13	29																	0
Runeword8	Bone	1		tors									SolUmUm	r12	r22	r22				hit-skill	Bone Spear	15	10	gethit-skill	Bone Armor	15	10	nec		2	2	mana		100	150													0
Runeword10	Brand	1		miss									JahLoMalGul	r31	r28	r23	r25			dmg%		260	340	dmg-demon		280	330	hit-skill	Bone Spear	100	18	gethit-skill	Amplify Damage	35	14	knock		1	1	noheal		1	1	explosivearrow		15	15	0
Runeword12	Broken Promise (cold)	1		weap	armo	shld							2 Perfect Saphire	gpb	gpb					dmg-cold		2	11	abs-cold%		2	11	res-cold-max		2	3	dmg-cold/lvl	29			half-freeze		1	1									0
Runeword15	Chance (aether)	1		weap	armo	shld							2 Perfect Amethyst	gpv	gpv					dmg-mag		2	11	abs-mag%		2	11	res-mag-max		2	3	allskills		0	1	magicarrow		1	1	res-mag		2	11					0
Runeword136	Sting (cold)	1		weap	helm								2 chipped saphire	gcb	gcb					dmg-cold/time	0	2	11	res-cold/time	2	2	11																					0
Runeword18	Darkness (shadow)	1		weap	armo	shld							4 Perfect Skull	skz	skz	skz	skz			manasteal		29	37	lifesteal		29	37	aura	Redemption	1	4																	0
Runeword19	Thunderhead (lightning)	1		weap	helm								2 chipped topaz	gcy	gcy					dmg-ltng/time	0	2	11	res-ltng/time	2	2	11																					0
Runeword20	Death	1		swor	axe								HelElVexOrtGul	r15	r01	r26	r09	r25		dmg%		300	385	deadly/lvl	4			charged	BloodGolem	15	22	att-skill	Glacial Spike	25	18	death-skill	Chain Lightning	100	44	crush		50	50	indestruct		1	1	0
Runeword21	Deception (poison)	1		weap	helm								2 chipped emerald	gcg	gcg					dmg-pois/time	0	2	11	res-pois/time	2	2	11																					0
Runeword23	Desire	1		belt									OdalDagaz	f23	f24					mag%		300	700	indestruct		1	1	death-skill	Scroll of Townportal	100	1																	0
Runeword24	Despair (shadow)	1		weap	armo	shld							3 Perfect Skull	skz	skz	skz				manasteal		17	23	lifesteal		17	23	aura	Redemption	1	3																	0
Runeword32	Destiny's Wheel (void)	1		weap	helm								2 chipped diamond	gcw	gcw					str/time	0	2	11	dex/time	1	2	11	enr/time	2	2	11	vit/time	3	2	11													0
Runeword25	Destruction	1		pole	swor								VexLoBerJahKo	r26	r28	r30	r31	r18		dmg%		350	350	dmg-mag		100	180	hit-skill	Molten Boulder	5	23	death-skill	Meteor	100	45	att-skill	Nova	15	22	hit-skill	Volcano	23	12	noheal		1	1	0
Runeword27	Dragon	1		tors	shld								SurLoSol	r29	r28	r12				ac		360	360	ac-miss		230	230	str/lvl	3			hit-skill	Hydra	12	15	gethit-skill	Venom	20	18	aura	Holy Fire	14	14	all-stats		3	5	0
Runeword28	Dread (shadow)	1		weap	armo	shld							2 Perfect Skull	skz	skz					manasteal		7	13	lifesteal		7	13	aura	Redemption	1	2																	0
Runeword29	Dream	1		helm	shld								IoJahPul	r16	r31	r21				ac		150	220	gethit-skill	Confuse	10	15	mana/lvl	5			res-all		5	20	balance3		20	30	aura	Holy Shock	15	15	mag%		12	25	0
Runeword56	Thuggish Ruggish	1		bone									BjarkPerfect SkullTiwaz	f18	skz	f17				gethit-skill	Chilling Armor	10	10	death-skill	Bone Prison	100	50	indestruct		1	1	mag%		50	125	gold%		420	420	res-all		40	60	allskills		1	5	0
Runeword31	Edge	1		miss									TirTalAmn	r03	r07	r11				dmg-demon		320	380	dmg-undead		280	280	swing2		35	35	noheal		1	1	aura	Thorns	15	15	all-stats		5	10	cheap		15	15	0
Runeword34	Enlightenment	1		tors									PulRalSur	r21	r08	r12				hit-skill	Fire Ball	5	15	gethit-skill	Blaze	5	15	sor		2	2	oskill	Warmth	1	1													0
Runeword35	Envy (poison)	1		weap	armo	shld							2 Perfect Emerald	gpg	gpg					res-pois-len		25	25	res-pois-max		2	3	dmg-pois/lvl	29			res-pois		2	11													0
Runeword52	Heaven's Will	1		weap	miss								ManazTiwazSowilHagal	f20	f17	f16	f09			kill-skill	Fade	5	15	kill-skill	Enchant	5	15	hit-skill	Glacial Spike	5	15	att-skill	Firestorm	5	15	gethit-skill	Fist of the Heavens	1	15	dmg-min		150	300	allskills		0	2	0
Runeword53	Honor Guard Ruby	1		mace	hamm								WunjoFlawless-RubyYngvi	f08	glr	f22				dmg%		100	250	dmg-elem		100	250	allskills		0	2	res-all		1	30	randclassskill		0	5									0
Runeword57	Honor Guard Saphire	1		axe									WunjoFlawless-SaphireYngvi	f08	glb	f22				dmg%		100	250	dmg-elem		100	250	allskills		0	2	res-all		1	30	randclassskill		0	5									0
Runeword58	Hunger (Fire)	1		weap	armo	shld							3 Perfect Ruby	gpr	gpr	gpr				dmg-fire		13	29	abs-fire%		13	29	res-fire-max		5	7	dmg-fire/lvl	71			fireskill		0	1	explosivearrow		1	1					0
Runeword59	Ice	1		miss									AmnShaelJahLo	r11	r13	r31	r28			dmg%		140	210	aura	Holy Freeze	18	18	extra-cold		25	30	hit-skill	Frost Nova	25	22	levelup-skill	Blizzard	100	40	pierce-cold		20	20	gold%/lvl	25			0
Runeword60	Infinity	1		pole									BerMalBerIst	r30	r23	r30	r24			dmg%		255	325	move3		35	35	vit/lvl	4			aura	Conviction	12	12	kill-skill	Chain Lightning	50	20	pierce-ltng		45	55	charged	Cyclone Armor	30	21	0
Runeword61	Innocence (aether)	1		weap	shld								3 amethyst	gsv	gsv	gsv				dmg%/time	0	31	47	ac%/time	2	31	47	randclassskill		1	1																	0
Runeword62	Insight	1		pole	staf								RalTirTalSol	r08	r03	r07	r12			dmg%		200	260	att%		180	250	mag%		23	23	oskill	Critical Strike	1	6	cast2		35	35	aura	Meditation	12	17	all-stats		5	5	0
Runeword63	Jealousy (poison)	1		weap	armo	shld							3 Perfect Emerald	gpg	gpg	gpg				res-pois-len		25	25	res-pois-max		5	7	dmg-pois/lvl	71			res-pois		13	29													0
Runeword64	Judgment (Fire)	1		weap	armo	shld							5 Perfect Ruby	gpr	gpr	gpr	gpr	gpr		dmg-fire		53	71	abs-fire%		53	71	res-fire-max		17	19	dmg-fire/lvl	173			fireskill		0	3	explosivearrow		1	1					0
Runeword67	Knight's Vigil (cold)	1		weap	armo	shld							6 Perfect Saphire	gpb	gpb	gpb	gpb	gpb	gpb	dmg-cold		73	97	abs-cold%		73	97	res-cold-max		23	29	dmg-cold/lvl	229			nofreeze		1	1									0
Runeword69	Last Wish	1		swor	hamm	axe							JahMalJahSurJahBer	r31	r23	r31	r29	r31	r30	dmg%		330	375	att-skill	Charged Bolt	20	20	hit-skill	Life Tap	10	18	gethit-skill	Fade	6	11	crush		40	50	mag%/lvl	4			aura	Might	17	17	0
Runeword70	Law (lightning)	1		weap	shld								3 topaz	gsy	gsy	gsy				dmg-ltng/time	0	31	47	res-ltng/time	2	31	47	red-dmg%		2	11																	0
Runeword71	Lawbringer	1		swor	hamm	scep							AmnLemKo	r11	r20	r18				dmg-cold		130	180	dmg-fire		150	210	aura	Sanctuary	16	18	hit-skill	Decrepify	20	15	ac-miss		200	250	rip		1	1	reduce-ac		50	50	0
Runeword73	Lightning (lightning)	1		weap	armo	shld							2 Perfect Topaz	gpy	gpy					dmg-ltng		2	11	abs-ltng%		2	11	res-ltng-max		2	3	dmg-ltng/lvl	29															0
Runeword77	Circle of Mastery	1		weap	armo	shld							1 Regular diamond, ruby, saphire, topaz	gsw	gsr	gsb	gsy			res-all-max		2	5	allskills		0	2	dmg-elem		71	113	res-all		11	29	red-mag		11	47									0
Runeword78	Sphere of Mastery	1		weap	armo	shld							1 Flawless diamond, ruby, saphire, topaz, emerald	glw	glr	glb	gly	glg		res-all-max		7	13	allskills		0	3	dmg-elem		113	173	res-all		31	47	red-mag		47	97									0
Runeword79	Orb of Mastery	1		weap	armo	shld							1 Perfect diamond, ruby, saphire, topaz, emerald, amethyst	gpw	gpr	gpb	gpy	gpg	gpv	res-all-max		17	23	allskills		0	5	dmg-elem		173	229	res-all		53	71	red-mag		97	149									0
Runeword84	Mist (shadow)	1		weap	helm								2 chipped skull	skc	skc					hp/time	0	2	29	mana/time	2	2	29																					0
Runeword85	Morning Dew	1		swor									LaguzRaidoWunjoTiwaz	f21	f05	f08	f17			skill	37	2	2	skill	52	2	2	skill	42	2	2	dex/lvl		4	4													0
Runeword86	Mystery (aether)	1		weap	armo	shld							3 Perfect Amethyst	gpv	gpv	gpv				dmg-mag		13	29	abs-mag%		13	29	res-mag-max		5	7	allskills		0	1	magicarrow		1	1	res-mag		13	29					0
Runeword87	Myth	1		tors									HelAmnNef	r15	r11	r04				hit-skill	Taunt	10	1	gethit-skill	Howl	3	1	bar		2	2	regen		10	10													0
Runeword96	Patience (cold)	1		weap	armo	shld							5 Perfect Saphire	gpb	gpb	gpb	gpb	gpb		dmg-cold		53	71	abs-cold%		53	71	res-cold-max		17	19	dmg-cold/lvl	173			nofreeze		1	1									0
Runeword97	Pattern	1		h2h										f07	f09	f03				att%		10	10	dmg%		40	80	dmg-fire		12	32	res-all		15	15	str		6	6	dex		6	6	block2		30	30	0
Runeword98	Peace	1		tors									ShaelThulAmn	r13	r10	r11				hit-skill	Valkyrie	2	15	gethit-skill	Slow Missiles	4	5	ama		2	2	oskill	Critical Strike	2	2													0
Runeword100	Penitence (cold)	1		weap	armo	shld							3 Perfect Saphire	gpb	gpb	gpb				dmg-cold		13	29	abs-cold%		13	29	res-cold-max		5	7	dmg-cold/lvl	71			half-freeze		1	1									0
Runeword101	Temptation (poison)	1		weap	armo	shld							4 Perfect Emerald	gpg	gpg	gpg	gpg			res-pois-len		50	50	res-pois-max		11	13	dmg-pois/lvl	113			res-pois		31	47													0
Runeword102	Pestilence (poison)	1		weap	armo	shld							6 Perfect Emerald	gpg	gpg	gpg	gpg	gpg	gpg	res-pois-len		75	75	res-pois-max		23	29	dmg-pois/lvl	229			res-pois		73	97													0
Runeword103	Phoenix	1		weap	shld								VexVexLoJah	r26	r26	r28	r31			dmg%		350	400	ac-miss		350	400	hit-skill	Firestorm	40	22	levelup-skill	Blaze	100	40	pierce-fire		28	28	aura	Redemption	10	15	abs-fire		15	21	0
Runeword104	Honor Guard Topaz	1		miss									WunjoFlawless-DiamondYngvi	f08	gly	f22				dmg%		100	250	dmg-elem		100	250	allskills		0	2	res-all		1	30	randclassskill		0	5									0
Runeword105	Pillar of Faith (void)	1		weap	shld								3 diamond	gsw	gsw	gsw				str/time	0	13	29	dex/time	1	13	29	enr/time	2	13	29	vit/time	3	13	29	allskills		1	2									0
Runeword106	Plague	1		weap									ChamFalUm	r32	r19	r22				dmg-demons		260	380	gethit-skill	Lower Resist	20	12	hit-skill	Poison Nova	25	15	pierce-pois		23	23	deadly/lvl	3			aura	Cleansing	13	17	allskills		1	2	0
Runeword107	Honor Guard Emerald	1		staf									WunjoFlawless-EmeraldYngvi	f08	glg	f22				dmg%		100	250	dmg-elem		100	250	allskills		0	2	res-all		1	30	randclassskill		0	5									0
Runeword108	Honor Guard Skull	1		pole									WunjoFlawless-SkullYngvi	f08	skl	f22				dmg%		100	250	dmg-elem		100	250	allskills		0	2	res-all		1	30	randclassskill		0	5									0
Runeword109	Pride	1		pole									ChamSurIoLo	r32	r29	r16	r28			dmg-dem/lvl	8			dmg-ltng		50	280	att%		260	300	aura	Concentration	16	20	gethit-skill	Fire Wall	25	17	regen		8	8	gold%/lvl	15			0
Runeword110	Principle	1		tors									RalGulEld	r08	r25	r02				hit-skill	Holy Bolt	100	5	pal		2	2	life		100	150	dmg-undead		50	50													0
Runeword111	Prowess in Battle (lightning)	1		weap	armo	shld							6 Perfect Topaz	gpy	gpy	gpy	gpy	gpy	gpy	dmg-ltng		73	97	abs-ltng%		73	97	res-ltng-max		23	29	dmg-ltng/lvl	229															0
Runeword112	Prudence	1		tors										r23	r03					ac%		140	170	red-mag		10	10	red-dmg		3	3	res-all		25	35	balance2		25	25	rep-dur	25			light		1	1	0
Runeword113	Punishment (poison)	1		weap	shld								3 emerald	gsg	gsg	gsg				dmg-pois/time	0	31	47	res-pois/time	2	31	47	rip		1	1																	0
Runeword114	Honor Guard Amethyst	1		spea									WunjoFlawless-AmethystYngvi	f08	gzv	f22				dmg%		100	250	dmg-elem		100	250	allskills		0	2	res-all		1	30	randclassskill		0	5									0
